"RECTANGULAR STRAIGHT DUCT", "Rectangular Duct"
"DM FRAME", "Rectangular Duct"
"PLENUM", "Rectangular Duct"
"EC", "Rectangular Duct"
"BIRD SCREEN EC", "Rectangular Duct"
"FX", "Rectangular Duct"
"DSCC", "Rectangular Duct"
"E1", "Rectangular Duct"
"A1", "Rectangular Duct"
"E2 SQ THRT", "Rectangular Duct"
"E2", "Rectangular Duct"
"E3", "Rectangular Duct"
"E4", "Rectangular Duct"
"E5", "Rectangular Duct"
"R2-3", "Rectangular Duct"
"O1", "Rectangular Duct"
"O2-3", "Rectangular Duct"
"O4", "Rectangular Duct"
"T1", "Rectangular Duct"
"T3", "Rectangular Duct"
"Y1", "Rectangular Duct"
"Y3", "Rectangular Duct"
"SR2-3", "Rectangular Duct"
"SO2-3", "Rectangular Duct"
"TSRF", "Rectangular Duct"
"C1", "Rectangular Duct"
"C2ST", "Rectangular Duct"
"C2L", "Rectangular Duct"
"DRAIN PAN", "Rectangular Duct"
"DRAIN PAN WITH DRAIN", "Rectangular Duct"
"DAMPER SLEEVE", "Rectangular Duct"
"GRILLE BOX TALL", "Rectangular Duct"
"CURB", "Rectangular Duct"
"GRILLE BOX ROUND/OVAL", "Rectangular Duct"
"SPIRAL PIPE (ROUND)", "Round Duct"
"PC", "Round Duct"
"FC", "Round Duct"
"EC RND", "Round Duct"
"FX RND", "Round Duct"
"RND R2-3", "Round Duct"
"CR", "Round Duct"
"ER", "Round Duct"
"SET", "Round Duct"
"E", "Round Duct"
"M90", "Round Duct"
"BT", "Round Duct"
"BTR", "Round Duct"
"Y", "Round Duct"
"YR", "Round Duct"
"T", "Round Duct"
"TR", "Round Duct"
"TX", "Round Duct"
"TXR", "Round Duct"
"CT", "Round Duct"
"CTR", "Round Duct"
"CX", "Round Duct"
"CXR", "Round Duct"
"ST", "Round Duct"
"STR", "Round Duct"
"SX", "Round Duct"
"SXR", "Round Duct"
"LT", "Round Duct"
"LTR", "Round Duct"
"LX", "Round Duct"
"LXR", "Round Duct"
"TF", "Round Duct"
"TCF", "Round Duct"
"TSF", "Round Duct"
"TLF", "Round Duct"
"SPIRAL PIPE (OVAL)", "Oval Duct"
"OPC", "Oval Duct"
"OFC", "Oval Duct"
"OLS", "Oval Duct"
"OEC", "Oval Duct"
"OR2-3", "Oval Duct"
"OCR", "Oval Duct"
"OER", "Oval Duct"
"ORD", "Oval Duct"
"OSET", "Oval Duct"
"OSET SOFT GORED 3", "Oval Duct"
"OE", "Oval Duct"
"OM90", "Oval Duct"
"OMS90", "Oval Duct"
"OE SOFT", "Oval Duct"
"OBT", "Oval Duct"
"OBTR", "Oval Duct"
"RISER TAP", "Oval Duct"
"OY", "Oval Duct"
"OYR", "Oval Duct"
"OT", "Oval Duct"
"OTR", "Oval Duct"
"OTX", "Oval Duct"
"OTXR", "Oval Duct"
"OCT", "Oval Duct"
"OCTR", "Oval Duct"
"OCX", "Oval Duct"
"OCXR", "Oval Duct"
"OST", "Oval Duct"
"OSTR", "Oval Duct"
"OSX", "Oval Duct"
"OSXR", "Oval Duct"
"OLT", "Oval Duct"
"OLTR", "Oval Duct"
"OLX", "Oval Duct"
"OLXR", "Oval Duct"
"OTF", "Oval Duct"
"OTSF", "Oval Duct"
